NIM,JumlahSKS,Semester,IPK,Lulus
B11112692,1,1,0,0
D32109269,1,1,0,0
D32109273,1,1,0,0
D41108861,1,1,0,0
E11109265,1,1,0,0
E11110005,1,1,0,0
L23109256,1,1,2,0
D41110902,1,1,2.5,0
D41108002,1,1,2.75,0
B11110172,1,1,3,0
D21107089,1,1,3,0
D41110273,1,1,3,0
E13110264,1,1,3,0
L22108311,1,1,3,0
N21113043,1,1,3,0
N21113053,1,1,3,0
N21113709,1,1,3,0
N21113722,1,1,3,0
N21113725,1,1,3,0
N21113741,1,1,3,0
N21113756,1,1,3,0
N21113758,1,1,3,0
N21113765,1,1,3,0
N21113772,1,1,3,0
N21113773,1,1,3,0
D21107045,1,1,3.5,0
D21111011,1,1,3.5,0
D32109272,1,1,3.5,0
D41109317,1,1,3.5,0
D22110284,1,1,3.75,0
D32109270,1,1,3.75,0
B11107508,1,1,4,0
B11108264,1,1,4,0
B11110311,1,1,4,0
B11110441,1,1,4,0
D11110251,1,1,4,0
D21109278,1,1,4,0
D21109287,1,1,4,0
D32109271,1,1,4,0
E11109272,2,2,1,0
D22110252,2,2,1.25,0
E31110102,2,2,3.75,0
A31107106,2,1,0,0
B11108042,2,1,0,0
B11108138,2,1,0,0
B11108315,2,1,0,0
B11109279,2,1,0,0
B11110909,2,1,0,0
D11107009,2,1,0,0
D11108625,2,1,0,0
D11109294,2,1,0,0
D11110011,2,1,0,0
D22107043,2,1,0,0
D22108004,2,1,0,0
D22109267,2,1,0,0
D41108285,2,1,0,0
D41109253,2,1,0,0
D41109333,2,1,0,0
D41110115,2,1,0,0
D41110265,2,1,0,0
D41110294,2,1,0,0
D41111280,2,1,0,0
D42109116,2,1,0,0
D42110283,2,1,0,0
D42110286,2,1,0,0
D42110287,2,1,0,0
D42111108,2,1,0,0
D42111259,2,1,0,0
D51110901,2,1,0,0
D61107071,2,1,0,0
D61108002,2,1,0,0
D62109010,2,1,0,0
D62109256,2,1,0,0
E31110110,2,1,0,0
E31110251,2,1,0,0
E41110101,2,1,0,0
F11107052,2,1,0,0
F11107057,2,1,0,0
F21108306,2,1,0,0
F21109020,2,1,0,0
F21109316,2,1,0,0
F21109407,2,1,0,0
F21110255,2,1,0,0
F31109254,2,1,0,0
F41110254,2,1,0,0
F51109253,2,1,0,0
F61108274,2,1,0,0
F81107016,2,1,0,0
F81108273,2,1,0,0
F81109269,2,1,0,0
G31109275,2,1,0,0
H21111275,2,1,0,0
H31107019,2,1,0,0
J11107130,2,1,0,0
K11106692,2,1,0,0
K11107044,2,1,0,0
K11107642,2,1,0,0
K11108868,2,1,0,0
K11109341,2,1,0,0
K11109535,2,1,0,0
L11108279,2,1,0,0
N11109275,2,1,0,0
Q11113011,2,1,0,0
D33111275,2,1,1,0
D51109257,2,1,1,0
F61110266,2,1,1,0
F81110265,2,1,1,0
C12111121,2,1,2,0
D11109101,2,1,2,0
D11111628,2,1,2,0
D21112955,2,1,2,0
D22109277,2,1,2,0
D22110300,2,1,2,0
D31109265,2,1,2,0
D31109281,2,1,2,0
D31109303,2,1,2,0
D31110102,2,1,2,0
D31110253,2,1,2,0
D41107036,2,1,2,0
D41107159,2,1,2,0
D41110107,2,1,2,0
D41110314,2,1,2,0
D41111008,2,1,2,0
D41111104,2,1,2,0
D42109253,2,1,2,0
F41110904,2,1,2,0
F91109255,2,1,2,0
F91109261,2,1,2,0
G41110908,2,1,2,0
H21109268,2,1,2,0
I41109003,2,1,2,0
K11108301,2,1,2,0
K11109598,2,1,2,0
K11110352,2,1,2,0
K11110921,2,1,2,0
L11109261,2,1,2,0
L24110253,2,1,2,0
N11107677,2,1,2,0
N11109315,2,1,2,0
N21113707,2,1,2,0
N21113734,2,1,2,0
N21113747,2,1,2,0
N21113751,2,1,2,0
N21113752,2,1,2,0
D11110012,2,1,2.5,0
D22109291,2,1,2.5,0
D31110010,2,1,2.5,0
D33109002,2,1,2.5,0
D33111270,2,1,2.5,0
D62108863,2,1,2.5,0
F11110258,2,1,2.5,0
F31110255,2,1,2.5,0
F41108268,2,1,2.5,0
F91110904,2,1,2.5,0
I31110901,2,1,2.5,0
K11108339,2,1,2.5,0
K11109377,2,1,2.5,0
N11110104,2,1,2.5,0
N11110296,2,1,2.5,0
N11110299,2,1,2.5,0
N11110906,2,1,2.5,0
N21113712,2,1,2.5,0
N21113736,2,1,2.5,0
N21113737,2,1,2.5,0
D12111101,2,1,2.75,0
D12111106,2,1,2.75,0
D12111261,2,1,2.75,0
D21110293,2,1,2.75,0
